class,missed_stmt,covered_stmt,total_stmts
org.apache.commons.codec.language.bm.Rule,214,0,214
org.apache.commons.codec.EncoderException,0,4,4
org.apache.commons.codec.StringEncoderComparator,1,8,9
org.apache.commons.codec.language.bm.PhoneticEngine,146,0,146
org.apache.commons.codec.net.Utils,0,5,5
org.apache.commons.codec.language.SoundexUtils,0,20,20
org.apache.commons.codec.digest.UnixCrypt,0,140,140
org.apache.commons.codec.binary.Base32InputStream,0,3,3
org.apache.commons.codec.binary.BaseNCodecOutputStream,0,31,31
org.apache.commons.codec.language.bm.ResourceConstants,0,0,0
org.apache.commons.codec.binary.Base64,40,105,145
org.apache.commons.codec.language.Caverphone1,0,60,60
org.apache.commons.codec.language.Caverphone2,0,63,63
org.apache.commons.codec.language.bm.Lang,48,0,48
org.apache.commons.codec.net.BCodec,6,32,38
org.apache.commons.codec.language.Caverphone,7,0,7
org.apache.commons.codec.Charsets,0,2,2
org.apache.commons.codec.binary.Base32OutputStream,0,3,3
org.apache.commons.codec.binary.BaseNCodec,26,57,83
org.apache.commons.codec.Encoder,0,0,0
org.apache.commons.codec.digest.HmacUtils,88,0,88
org.apache.commons.codec.DecoderException,0,4,4
org.apache.commons.codec.digest.Crypt,0,12,12
org.apache.commons.codec.binary.BinaryCodec,0,53,53
org.apache.commons.codec.net.QuotedPrintableCodec,3,108,111
org.apache.commons.codec.language.AbstractCaverphone,0,5,5
org.apache.commons.codec.BinaryDecoder,0,0,0
org.apache.commons.codec.binary.Base32,18,144,162
org.apache.commons.codec.cli.Digest,41,0,41
org.apache.commons.codec.digest.Sha2Crypt,4,127,131
org.apache.commons.codec.language.DaitchMokotoffSoundex,10,154,164
org.apache.commons.codec.net.PercentCodec,0,77,77
org.apache.commons.codec.language.bm.NameType,2,0,2
org.apache.commons.codec.binary.Base64InputStream,0,3,3
org.apache.commons.codec.net.RFC1522Codec,2,37,39
org.apache.commons.codec.digest.Md5Crypt,0,69,69
org.apache.commons.codec.language.Nysiis,0,67,67
org.apache.commons.codec.BinaryEncoder,0,0,0
org.apache.commons.codec.binary.Hex,0,59,59
org.apache.commons.codec.binary.CharSequenceUtils,3,12,15
org.apache.commons.codec.net.QCodec,6,89,95
org.apache.commons.codec.StringDecoder,0,0,0
org.apache.commons.codec.Decoder,0,0,0
org.apache.commons.codec.language.bm.Languages,63,0,63
org.apache.commons.codec.digest.XXHash32,19,50,69
org.apache.commons.codec.digest.PureJavaCrc32C,8,22,30
org.apache.commons.codec.language.Metaphone,1,181,182
org.apache.commons.codec.binary.Base64OutputStream,0,3,3
org.apache.commons.codec.language.RefinedSoundex,0,29,29
org.apache.commons.codec.language.Soundex,2,43,45
org.apache.commons.codec.digest.HmacAlgorithms,3,0,3
org.apache.commons.codec.language.MatchRatingApproachEncoder,0,111,111
org.apache.commons.codec.digest.PureJavaCrc32,0,21,21
org.apache.commons.codec.StringEncoder,0,0,0
org.apache.commons.codec.language.bm.BeiderMorseEncoder,13,0,13
org.apache.commons.codec.language.DoubleMetaphone,7,411,418
org.apache.commons.codec.digest.B64,0,10,10
org.apache.commons.codec.digest.MessageDigestAlgorithms,1,0,1
org.apache.commons.codec.binary.BaseNCodecInputStream,2,40,42
org.apache.commons.codec.CharEncoding,0,0,0
org.apache.commons.codec.net.URLCodec,1,82,83
org.apache.commons.codec.binary.StringUtils,2,36,38
org.apache.commons.codec.language.ColognePhonetic,4,98,102
org.apache.commons.codec.digest.DigestUtils,114,3,117
org.apache.commons.codec.language.bm.RuleType,2,0,2
