class,missed_branch, covered_branch, total_branch  
org.joda.time.DateTimeZone,33,169,202
org.joda.time.tz.DateTimeZoneBuilder$RuleSet,36,4,40
org.joda.time.format.DateTimeFormatterBuilder$StringLiteral,0,2,2
org.joda.time.tz.DateTimeZoneBuilder$Recurrence,5,5,10
org.joda.time.format.ISODateTimeFormat$Constants,28,90,118
org.joda.time.convert.ReadablePartialConverter,0,4,4
org.joda.time.chrono.GJYearOfEraDateTimeField,0,4,4
org.joda.time.Seconds,1,34,35
org.joda.time.tz.DateTimeZoneBuilder$Transition,10,0,10
org.joda.time.field.RemainderDateTimeField,7,3,10
org.joda.time.field.AbstractPartialFieldProperty,0,22,22
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,2,6,8
org.joda.time.field.StrictDateTimeField,3,3,6
org.joda.time.format.DateTimeFormatterBuilder$Fraction,24,29,53
org.joda.time.format.DateTimeFormatterBuilder$FixedNumber,2,12,14
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,3,51,54
org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear,13,47,60
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone,102,54,156
org.joda.time.field.UnsupportedDurationField,5,7,12
org.joda.time.field.LenientDateTimeField,3,3,6
org.joda.time.format.PeriodFormatterBuilder$CompositeAffix,6,12,18
org.joda.time.DateTimeComparator,6,42,48
org.joda.time.base.AbstractDateTime,0,8,8
org.joda.time.field.SkipUndoDateTimeField,3,5,8
org.joda.time.convert.AbstractConverter,0,2,2
org.joda.time.format.PeriodFormatterBuilder,7,96,103
org.joda.time.field.DelegatedDateTimeField,1,5,6
org.joda.time.chrono.ISOChronology,2,16,18
org.joda.time.chrono.BasicChronology,10,70,80
org.joda.time.chrono.LenientChronology,7,9,16
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter,37,200,237
org.joda.time.tz.ZoneInfoCompiler$Rule,9,3,12
org.joda.time.chrono.BasicYearDateTimeField,0,10,10
org.joda.time.field.DividedDateTimeField,9,9,18
org.joda.time.chrono.ZonedChronology,18,32,50
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset,41,81,122
org.joda.time.field.BaseDateTimeField,5,67,72
org.joda.time.field.ZeroIsMaxDateTimeField,2,4,6
org.joda.time.format.DateTimeFormatterBuilder,35,82,117
org.joda.time.tz.ZoneInfoProvider$1,1,1,2
org.joda.time.base.BaseInterval,0,14,14
org.joda.time.tz.CachedDateTimeZone$Info,4,14,18
org.joda.time.chrono.EthiopicChronology,5,23,28
org.joda.time.Duration,0,34,34
org.joda.time.format.FormatUtils,54,48,102
org.joda.time.PeriodType,3,101,104
org.joda.time.format.PeriodFormatter,1,21,22
org.joda.time.field.MillisDurationField,2,6,8
org.joda.time.format.DateTimePrinterInternalPrinter,7,5,12
org.joda.time.Interval,2,46,48
org.joda.time.chrono.GJChronology,13,45,58
org.joda.time.chrono.IslamicChronology,26,40,66
org.joda.time.base.AbstractInstant,0,28,28
org.joda.time.format.DateTimeFormatterBuilder$TextField,2,22,24
org.joda.time.chrono.BasicFixedMonthChronology,6,8,14
org.joda.time.tz.DateTimeZoneBuilder,52,28,80
org.joda.time.format.DateTimeParserBucket,11,59,70
org.joda.time.field.UnsupportedDateTimeField,1,11,12
org.joda.time.field.ScaledDurationField,1,13,14
org.joda.time.chrono.ISOYearOfEraDateTimeField,2,2,4
org.joda.time.convert.ConverterSet,1,79,80
org.joda.time.tz.ZoneInfoCompiler$Zone,16,0,16
org.joda.time.field.PreciseDurationDateTimeField,0,10,10
org.joda.time.MonthDay,4,27,31
org.joda.time.LocalDateTime,14,104,118
org.joda.time.MutablePeriod,0,8,8
org.joda.time.chrono.GJCacheKey,14,10,24
org.joda.time.MutableDateTime,6,57,63
org.joda.time.tz.FixedDateTimeZone,1,15,16
org.joda.time.field.PreciseDateTimeField,0,6,6
org.joda.time.tz.CachedDateTimeZone,3,15,18
org.joda.time.chrono.LimitChronology$LimitException,4,0,4
org.joda.time.chrono.GJLocaleSymbols,1,37,38
org.joda.time.format.PeriodFormatterBuilder$Literal,0,2,2
org.joda.time.convert.ReadableDurationConverter,0,2,2
org.joda.time.format.PeriodFormatterBuilder$PluralAffix,3,25,28
org.joda.time.base.BaseDuration,0,2,2
org.joda.time.DateMidnight,2,48,50
org.joda.time.field.DecoratedDateTimeField,0,4,4
org.joda.time.Months,0,44,44
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId,5,23,28
org.joda.time.YearMonthDay,1,23,24
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral,2,6,8
org.joda.time.YearMonth,4,27,31
org.joda.time.chrono.GJChronology$CutoverField,24,48,72
org.joda.time.LocalTime$Property,0,2,2
org.joda.time.field.OffsetDateTimeField,2,6,8
org.joda.time.DateTime$Property,2,2,4
org.joda.time.Years,1,34,35
org.joda.time.format.DateTimeParserBucket$SavedState,0,4,4
org.joda.time.convert.ReadableIntervalConverter,0,6,6
org.joda.time.tz.DateTimeZoneBuilder$Rule,8,0,8
org.joda.time.chrono.BasicWeekyearDateTimeField,9,15,24
org.joda.time.Days,0,39,39
org.joda.time.field.FieldUtils,13,67,80
org.joda.time.format.DateTimeFormatterBuilder$MatchingParser,4,30,34
org.joda.time.chrono.BasicSingleEraDateTimeField,4,0,4
org.joda.time.format.DateTimeFormat,30,100,130
org.joda.time.Partial,5,111,116
org.joda.time.format.ISODateTimeFormat,8,136,144
org.joda.time.field.SkipDateTimeField,3,7,10
org.joda.time.tz.UTCProvider,0,2,2
org.joda.time.chrono.LimitChronology,30,34,64
org.joda.time.format.InternalPrinterDateTimePrinter,3,7,10
org.joda.time.base.AbstractPeriod,1,21,22
org.joda.time.base.BaseSingleFieldPeriod,1,45,46
org.joda.time.IllegalFieldValueException,4,12,16
org.joda.time.IllegalInstantException,3,5,8
org.joda.time.format.DateTimeFormatterBuilder$Composite,4,40,44
org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber,0,2,2
org.joda.time.tz.DefaultNameProvider,65,7,72
org.joda.time.tz.ZoneInfoCompiler,112,61,173
org.joda.time.format.PeriodFormatterBuilder$IgnorableAffix,1,29,30
org.joda.time.format.DateTimeFormat$StyleFormatter,12,0,12
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,17,17,34
org.joda.time.chrono.GregorianChronology,2,30,32
org.joda.time.chrono.AssembledChronology$Fields,37,37,74
org.joda.time.MutableInterval,0,10,10
org.joda.time.format.PeriodFormat$DynamicWordBased,0,8,8
org.joda.time.convert.ConverterManager,5,57,62
org.joda.time.Minutes,1,34,35
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,0,2,2
org.joda.time.chrono.BasicMonthOfYearDateTimeField,12,46,58
org.joda.time.base.AbstractPartial,1,61,62
org.joda.time.base.BasePartial,0,4,4
org.joda.time.base.AbstractDuration,0,32,32
org.joda.time.base.BaseDateTime,0,4,4
org.joda.time.DateTimeUtils,6,40,46
org.joda.time.base.AbstractInterval,2,54,56
org.joda.time.LocalTime,8,92,100
org.joda.time.Hours,1,39,40
org.joda.time.tz.ZoneInfoCompiler$DateTimeOfYear,9,17,26
org.joda.time.convert.ReadableInstantConverter,0,8,8
org.joda.time.convert.StringConverter,4,68,72
org.joda.time.base.BasePeriod,3,55,58
org.joda.time.field.DecoratedDurationField,1,3,4
org.joda.time.tz.DateTimeZoneBuilder$DSTZone,15,19,34
org.joda.time.chrono.AssembledChronology,43,61,104
org.joda.time.chrono.StrictChronology,11,5,16
org.joda.time.TimeOfDay,1,22,23
org.joda.time.format.ISOPeriodFormat,0,10,10
org.joda.time.tz.ZoneInfoCompiler$RuleSet,13,1,14
org.joda.time.tz.ZoneInfoProvider,13,23,36
org.joda.time.chrono.GJEraDateTimeField,2,6,8
org.joda.time.chrono.BaseChronology,4,36,40
org.joda.time.chrono.JulianChronology,3,29,32
org.joda.time.field.ImpreciseDateTimeField,10,0,10
org.joda.time.chrono.CopticChronology,3,27,30
org.joda.time.field.PreciseDurationField,0,8,8
org.joda.time.Period,0,64,64
org.joda.time.tz.DateTimeZoneBuilder$OfYear,36,34,70
org.joda.time.chrono.BasicGJChronology,2,78,80
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter,2,36,38
org.joda.time.DurationField,0,4,4
org.joda.time.format.PeriodFormat,8,18,26
org.joda.time.format.DateTimeFormatter,13,65,78
org.joda.time.Weeks,1,34,35
org.joda.time.format.DateTimeFormat$StyleFormatterCacheKey,16,0,16
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneName,21,0,21
org.joda.time.chrono.IslamicChronology$LeapYearPatternType,9,2,11
org.joda.time.DateTime,4,68,72
org.joda.time.format.PeriodFormatterBuilder$Composite,4,30,34
org.joda.time.field.DelegatedDurationField,8,0,8
org.joda.time.field.AbstractReadableInstantFieldProperty,2,24,26
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix,1,11,12
org.joda.time.format.PeriodFormatterBuilder$RegExAffix,0,22,22
org.joda.time.format.DateTimeParserInternalParser,0,4,4
org.joda.time.LocalDate,18,106,124
org.joda.time.format.DateTimeParserBucket$SavedField,0,6,6
org.joda.time.chrono.BasicDayOfMonthDateTimeField,1,11,12
org.joda.time.format.InternalParserDateTimeParser,3,7,10
org.joda.time.chrono.ZonedChronology$ZonedDurationField,13,19,32
org.joda.time.Instant,1,9,10
org.joda.time.format.PeriodFormatterBuilder$Separator,17,67,84
org.joda.time.convert.CalendarConverter,0,10,10
org.joda.time.DurationFieldType$StandardDurationFieldType,4,28,32
org.joda.time.chrono.GJChronology$ImpreciseCutoverField,23,27,50
org.joda.time.chrono.BasicDayOfYearDateTimeField,2,8,10
org.joda.time.field.BaseDurationField,0,6,6
org.joda.time.chrono.BuddhistChronology,4,16,20
