class,missed_branch, covered_branch, total_branch  
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper,6,10,16
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair,33,3,36
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,14,26,40
com.fasterxml.jackson.dataformat.xml.XmlMapper,1,5,6
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer,9,5,14
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,124,116,240
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,3,15,18
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,30,16,46
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,3,13,16
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,7,3,10
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,16,32,48
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder,8,11,19
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,5,33,38
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,3,19,22
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature,1,5,6
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,35,75,110
com.fasterxml.jackson.dataformat.xml.XmlFactory,54,58,112
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,0,2,2
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,2,34,36
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,3,3,6
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer,2,2,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter,3,3,6
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,10,2,12
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,0,8,8
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,1,13,14
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,12,18,30
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,65,84,149
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,25,78,103
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature,1,5,6
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,6,38,44
