method,missed_branch,covered_branch,total_branch
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.setDefaultUseWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.collectDefaults,1,3,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.writeIndentation,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getEmbeddedObject,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.newDelegatingInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.isUnwrappingSerializer,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeString,14,10,24
com.fasterxml.jackson.dataformat.xml.XmlMapper.version,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,1,3,4
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.sanitizeXmlTypeName,10,22,32
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setDefaultUseWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.toString,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRepeatedFieldName,2,0,2
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory._createXmlWriter,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._orderAttributesFirst,1,7,8
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._skipUntilTag,1,3,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.version,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.copy,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLTextElementName,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeWithType,1,5,6
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.flush,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._getText,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getCurrentValue,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText,6,0,6
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier._findSoleTextProp,0,10,10
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isCData,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findNamespace,1,5,6
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation,0,10,10
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isAttribute,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.<init>,2,2,4
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._asXmlGenerator,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getText,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.overrideFormatFeatures,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlFactory._initFactories,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.hasAttributes,4,0,4
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getText,3,4,7
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.getEmptyValue,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isEnabled,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.deserializeWithType,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.<init>,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isCData,1,3,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.configure,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._serializeObjectId,2,2,4
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.serialize,2,2,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$NopIndenter.writeIndentation,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._initWithRootName,2,6,8
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._collectUntilTag,4,12,16
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.indentArraysWith,2,0,2
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.serializeValue,6,16,22
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsAttribute,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext,0,2,2
com.fasterxml.jackson.dataformat.xml.util.TypeUtil.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue,6,2,8
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.<init>,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.enable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.canWriteFormattedNumbers,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.unwrappingSerializer,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,3,3,6
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.newDelegatingInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.version,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withIgnorals,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,2,2,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeFieldName,2,2,4
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.encodeXmlClassName,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue,17,11,28
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.inRoot,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getTokenLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwXmlAsIOException,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.finishWrappedValue,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.getWrapperNamespace,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.readObject,0,0,0
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,0,6,6
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputTarget,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData,6,0,6
com.fasterxml.jackson.dataformat.xml.XmlFactory.requiresCustomCodec,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputBuffered,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.deserializeWithType,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.isEnabled,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getDoubleValue,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withFilterId,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipAttributes,3,3,6
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.createInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.isMatching,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.convertToString,4,6,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsUnwrapped,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<init>,3,17,20
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchesWrapper,2,6,8
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasFormat,0,0,0
com.fasterxml.jackson.dataformat.xml.PackageVersion.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,0,6,6
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlWriter,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartArray,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeObjectEntries,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlMinimalClassNameIdResolver.typeFromId,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.overrideFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlMinimalClassNameIdResolver.idFromValue,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.initGenerator,1,9,10
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRaw,4,2,6
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.isOutputAsText,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeUTF8String,0,0,0
com.fasterxml.jackson.dataformat.xml.PackageVersion.version,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.serialize,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getNamespaceURI,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.copy,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeLeafElement,20,4,24
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._releaseBuffers,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,3,13,16
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writePrologLinefeed,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getValueAsString,6,4,10
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.modifySerializer,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._constructDefaultPrettyPrinter,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextToken,5,38,43
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setXMLTextElementName,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory._decorate,6,2,8
com.fasterxml.jackson.dataformat.xml.util.StaxUtil._message,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentValue,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.instance,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeStartArray,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._serializeXmlNull,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsText,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup._findRootName,1,11,12
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsCData,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.decodeXmlClassName,2,2,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeArrayValues,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentName,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.serializeAsField,11,15,26
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getXmlReader,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature.getMask,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBigIntegerValue,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getCurrentName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchingWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch,2,4,6
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation,1,9,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,4,0,4
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.createContextual,2,12,14
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getNumberType,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsCData,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer._verifyDeserType,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeProperty,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createRootContext,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.enabledByDefault,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>,5,3,8
com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatWriteFeatureType,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.deserialize,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.configure,2,0,2
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartObject,1,3,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$NopIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isText,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.<init>,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlMapper.writeValue,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeEndElement,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._initStartElement,0,4,4
