class,missed_stmt,covered_stmt,total_stmts
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper,9,13,22
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,12,32,44
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlProperty,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper,10,32,42
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer,10,10,20
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,194,236,430
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlRootElement,0,0,0
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlElementWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlText,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,7,30,37
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,58,67,125
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,0,9,9
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,10,10,20
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,18,67,85
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,1,5,6
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder,6,33,39
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,1,47,48
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,2,35,37
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,37,130,167
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector,30,7,37
com.fasterxml.jackson.dataformat.xml.XmlFactory,74,161,235
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,0,14,14
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,2,34,36
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,7,16,23
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer,15,6,21
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,31,28,59
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,0,8,8
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,0,23,23
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,9,29,38
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlCData,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,122,214,336
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,27,160,187
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,2,55,57
com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter,0,0,0
