class,missed_stmt,covered_stmt,total_stmts
org.jsoup.select.NodeVisitor,0,0,0
org.jsoup.parser.ParseError,2,5,7
org.jsoup.helper.DataUtil,10,89,99
org.jsoup.parser.TreeBuilder,1,30,31
org.jsoup.parser.Tokeniser,13,113,126
org.jsoup.nodes.DocumentType,0,16,16
org.jsoup.nodes.Comment,1,7,8
org.jsoup.examples.HtmlToPlainText,49,0,49
org.jsoup.HttpStatusException,6,0,6
org.jsoup.parser.Parser,5,29,34
org.jsoup.select.QueryParser,4,198,202
org.jsoup.select.Selector,1,35,36
org.jsoup.safety.Cleaner,0,52,52
org.jsoup.nodes.Element,35,283,318
org.jsoup.examples.ListLinks,22,0,22
org.jsoup.helper.HttpConnection,295,155,450
org.jsoup.select.NodeTraversor,0,16,16
org.jsoup.parser.Token,4,108,112
org.jsoup.parser.TokenQueue,18,109,127
org.jsoup.parser.ParseSettings,0,16,16
org.jsoup.parser.Tag,24,70,94
org.jsoup.nodes.Node,13,192,205
org.jsoup.parser.HtmlTreeBuilderState,262,800,1062
org.jsoup.nodes.Document,43,97,140
org.jsoup.nodes.Entities,8,122,130
org.jsoup.Jsoup,3,23,26
org.jsoup.select.Elements,2,115,117
org.jsoup.nodes.DataNode,5,5,10
org.jsoup.parser.TokeniserState,662,602,1264
org.jsoup.parser.HtmlTreeBuilder,43,278,321
org.jsoup.nodes.FormElement,5,28,33
org.jsoup.UnsupportedMimeTypeException,6,0,6
org.jsoup.nodes.Attributes,8,98,106
org.jsoup.select.StructuralEvaluator,6,38,44
org.jsoup.nodes.TextNode,15,30,45
org.jsoup.helper.W3CDom,2,62,64
org.jsoup.parser.ParseErrorList,1,5,6
org.jsoup.parser.XmlTreeBuilder,2,65,67
org.jsoup.nodes.BooleanAttribute,0,2,2
org.jsoup.SerializationException,4,0,4
org.jsoup.select.CombiningEvaluator,2,29,31
org.jsoup.select.Evaluator,36,101,137
org.jsoup.Connection,1,1,2
org.jsoup.helper.StringUtil,1,68,69
org.jsoup.safety.Whitelist,17,166,183
org.jsoup.helper.Validate,5,16,21
org.jsoup.select.Collector,0,10,10
org.jsoup.helper.DescendableLinkedList,9,0,9
org.jsoup.nodes.XmlDeclaration,1,10,11
org.jsoup.nodes.Attribute,10,32,42
org.jsoup.parser.CharacterReader,4,180,184
