class,missed_stmt,covered_stmt,total_stmts
org.codehaus.plexus.util.cli.DefaultConsumer,1,2,3
org.codehaus.plexus.util.InterpolationFilterReader,12,60,72
org.codehaus.plexus.util.cli.CommandLineException,1,1,2
org.codehaus.plexus.util.cli.shell.CommandShell,2,0,2
org.codehaus.plexus.util.cli.shell.Shell,18,65,83
org.codehaus.plexus.util.io.RawInputStreamFacade,2,0,2
org.codehaus.plexus.util.cli.AbstractStreamHandler,0,6,6
org.codehaus.plexus.util.ReaderFactory,7,2,9
org.codehaus.plexus.util.WriterFactory,4,2,6
org.codehaus.plexus.util.reflection.ReflectorException,3,0,3
org.codehaus.plexus.util.CachedMap,70,0,70
org.codehaus.plexus.util.Os,12,59,71
org.codehaus.plexus.util.cli.CommandLineUtils,38,129,167
org.codehaus.plexus.util.cli.ShutdownHookUtils,0,4,4
org.codehaus.plexus.util.DirectoryWalkListener,0,0,0
org.codehaus.plexus.util.cli.EnhancedStringTokenizer,0,35,35
org.codehaus.plexus.util.cli.CommandLineCallable,0,0,0
org.codehaus.plexus.util.cli.Commandline,61,94,155
org.codehaus.plexus.util.xml.XMLWriter,0,0,0
org.codehaus.plexus.util.xml.XmlStreamWriter,14,22,36
org.codehaus.plexus.util.StringUtils,425,148,573
org.codehaus.plexus.util.PropertyUtils,15,0,15
org.codehaus.plexus.util.xml.pull.XmlPullParserException,14,0,14
org.codehaus.plexus.util.cli.CommandLineTimeOutException,2,0,2
org.codehaus.plexus.util.reflection.Reflector,123,69,192
org.codehaus.plexus.util.StringInputStream,8,0,8
org.codehaus.plexus.util.Java7Detector,1,5,6
org.codehaus.plexus.util.dag.Vertex,4,18,22
org.codehaus.plexus.util.introspection.MethodMap,69,34,103
org.codehaus.plexus.util.xml.XmlStreamReader,6,2,8
org.codehaus.plexus.util.xml.XmlUtil,26,73,99
org.codehaus.plexus.util.SweeperPool,5,63,68
org.codehaus.plexus.util.cli.WriterStreamConsumer,3,0,3
org.codehaus.plexus.util.xml.SerializerXMLWriter,22,0,22
org.codehaus.plexus.util.cli.StreamFeeder,36,0,36
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter,9,94,103
org.codehaus.plexus.util.CollectionUtils,5,49,54
org.codehaus.plexus.util.xml.pull.MXSerializer,531,0,531
org.codehaus.plexus.util.PathTool,28,86,114
org.codehaus.plexus.util.dag.TopologicalSorter,0,18,18
org.codehaus.plexus.util.xml.pull.MXParser,687,881,1568
org.codehaus.plexus.util.Base64,154,0,154
org.codehaus.plexus.util.cli.Arg,0,0,0
org.codehaus.plexus.util.ReflectionUtils,21,24,45
org.codehaus.plexus.util.IOUtil,29,76,105
org.codehaus.plexus.util.xml.Xpp3Dom,27,110,137
org.codehaus.plexus.util.xml.Xpp3DomBuilder,10,51,61
org.codehaus.plexus.util.xml.XmlReader,145,47,192
org.codehaus.plexus.util.xml.XmlReaderException,14,0,14
org.codehaus.plexus.util.StringOutputStream,6,0,6
org.codehaus.plexus.util.xml.Xpp3DomWriter,1,15,16
org.codehaus.plexus.util.Expand,34,0,34
org.codehaus.plexus.util.Scanner,0,0,0
org.codehaus.plexus.util.FastMap,260,0,260
org.codehaus.plexus.util.dag.CycleDetectedException,0,10,10
org.codehaus.plexus.util.cli.StreamConsumer,0,0,0
org.codehaus.plexus.util.xml.pull.XmlSerializer,0,0,0
org.codehaus.plexus.util.cli.shell.CmdShell,0,8,8
org.codehaus.plexus.util.dag.DAG,15,33,48
org.codehaus.plexus.util.cli.StreamPumper,14,29,43
org.codehaus.plexus.util.xml.XmlWriterUtil,12,57,69
org.codehaus.plexus.util.xml.pull.EntityReplacementMap,4,26,30
org.codehaus.plexus.util.xml.pull.XmlPullParser,0,0,0
org.codehaus.plexus.util.xml.XmlStreamReaderException,2,0,2
org.codehaus.plexus.util.MatchPattern,1,25,26
org.codehaus.plexus.util.cli.shell.BourneShell,10,34,44
org.codehaus.plexus.util.xml.CompactXMLWriter,2,0,2
org.codehaus.plexus.util.AbstractScanner,11,39,50
org.codehaus.plexus.util.SelectorUtils,76,191,267
org.codehaus.plexus.util.TypeFormat,257,0,257
org.codehaus.plexus.util.MatchPatterns,6,18,24
org.codehaus.plexus.util.io.InputStreamFacade,0,0,0
org.codehaus.plexus.util.NioFiles,32,4,36
org.codehaus.plexus.util.FileUtils,197,366,563
org.codehaus.plexus.util.io.URLInputStreamFacade,0,2,2
org.codehaus.plexus.util.ExceptionUtils,141,0,141
org.codehaus.plexus.util.introspection.ReflectionValueExtractor,5,84,89
org.codehaus.plexus.util.xml.Xpp3DomUtils,15,31,46
org.codehaus.plexus.util.DirectoryWalker,38,67,105
org.codehaus.plexus.util.DirectoryScanner,62,75,137
org.codehaus.plexus.util.LineOrientedInterpolatingReader,20,109,129
org.codehaus.plexus.util.dag.CycleDetector,9,28,37
org.codehaus.plexus.util.introspection.ClassMap,67,47,114
